Trial,Condition,Correct,RT
914,1,0,0.455
915,1,1,0.393
916,2,1,0.388
917,2,1,0.525
918,2,1,0.967
919,2,1,0.396
920,2,1,0.405
921,1,1,0.385
922,2,1,0.523
923,2,1,0.393
924,2,1,0.419
925,1,1,0.721
926,1,0,0.423
927,2,1,0.409
928,2,1,0.407
929,1,1,0.682
930,2,1,0.526
931,1,1,0.41
932,1,1,0.366
933,1,0,0.478
934,2,1,0.369
935,2,1,0.36
936,1,0,0.456
937,1,1,0.468
938,2,1,0.339
939,2,1,0.61
940,1,1,0.918
941,2,1,0.536
942,1,1,0.423
943,1,1,0.549
944,2,1,1.741
945,2,0,0.427
946,1,1,0.39
947,2,1,0.398
948,1,1,0.355
949,1,1,0.407
950,2,1,0.364
951,2,1,0.419
952,2,1,0.451
953,2,1,0.352
954,1,0,1.117
955,1,1,0.705
956,1,1,0.448
957,2,1,0.418
958,1,1,0.384
959,2,1,0.413
960,2,1,0.463
961,2,1,0.391
962,2,1,0.397
963,1,0,0.783
964,1,1,0.256
965,1,0,0.476
966,1,1,0.448
967,1,1,0.508
968,1,1,0.413
969,2,1,0.49
970,2,1,0.486
971,2,1,0.576
972,2,1,0.388
973,1,1,0.397
974,2,1,0.63
975,2,1,0.356
976,2,0,0.445
977,2,1,0.361
978,1,0,0.603
979,1,0,0.406
980,2,1,0.37
981,2,1,0.467
982,1,0,0.348
983,2,1,0.793
984,2,0,0.635
985,2,1,0.568
986,1,0,1.107
987,2,1,0.359
988,1,0,0.46
989,2,1,0.448
990,1,1,0.358
991,1,0,0.321
992,2,1,0.603
993,1,1,0.426
994,1,0,0.424
995,1,0,0.586
996,1,1,0.729
997,1,1,1.17
998,2,1,0.423
999,2,1,0.543
